actor,text,label
Advokatforeningen,"Konsekvensene av klimaendringer forventes å øke jo lenger tid som går. Advokatforeningen understreker videre at det bør etableres langsiktige politiske føringer om retningen i omstillingen som velges for å nå klimamålene. Samtidig som det kreves politisk besluttsomhet for å drive omstillingen, er Advokatforeningen opptatt av at tøffe politiske prioriteringer må forankres bredt. Manglende forankring over tid kan føre til demokratiunderskudd og svekkelse av tillitten til det politiske systemet. Derfor er det avgjørende med brede diskusjoner hvor alle involverte får anledning til å bli hørt. Kun slik kan det skapes legitimitet for tiltak av stor betydning for mange.",Interessegruppe
Advokatforeningen,"Forbud og påbud som det er flertall for på Stortinget kan lovfestes, men juridiske virkemidler vil ikke i seg selv kunne bygge bro over konflikter som bunner i manglende forståelse for nødvendigheten av de tiltak som gjennomføres for å sikre måloppnåelse. For «å få folk med på reisen» er reell kunnskap og enkel kommunikasjon avgjørende. Advokatforeningen oppfatter at det fortsatt er bred politisk enighet om klimamålene og vil understreke betydningen av at dette utgangspunktet tydeliggjøres. Videre bør det sikres stor grad av politisk enighet om de mest inngripende av de tiltakene som politikken velger, og at disse er nødvendige. Dette er et tungt og grunnleggende ansvar for politikken, knyttet til veivalgene som skisseres i NOU 2023:25. Naturen selv er den beste motoren for å motvirke klimagassutslipp og forebygge klimaendringer. Norge har også påtatt seg forpliktelser knyttet til bevaring og restaurering av både hav- og landområder gjennom signeringen av naturavtalen i desember 2022.",Interessegruppe
Advokatforeningen,"2024. Advokatforeningen imøteser klimautvalgets rapport om veivalg for å nå Norges klimamål for 2050. Rapporten peker på betydningen av å nå målene samtidig som den viser hvor krevende dette er. Målet er fastsatt, men veien dit må i stor grad baseres på vanskelige politiske prioriteringer. Det hviler et stort og felles ansvar på dagens politikere for å følge opp klimaforliket fra 2012 med gjennomføring av praktisk politikk som faktisk bringer Norge nærmere målet.",Interessegruppe
Advokatforeningen,Vennlig hilsen Jon Wessel-Aas leder Merete Smith generalsekretær [1] Ved lovvedtak av 15. desember 2023 nr. 90 ble ordlyden skjerpet ved at reduksjonskravet ble øket fra 50% til 55%. Bestemmelsen lød tidligere «Målet skal være at klimagassutslippene i 2030 reduseres med minst 50 og opp mot 55 prosent fra utslippsnivået i referanseåret,Interessegruppe
Akademikerne,Dette er spesielt viktig i kommunene der mange sliter med å holde på fagfolk og å etablere gode fagmiljøer. Kap. 7 Matsystemet Utvalget viser til at det globale matsystemet står for mellom 21 og 37 prosent av de globale klimagassutslippene og legger derfor frem flere forslag for å omstille matsystemet til lavutslipp. Akademikerne mener imidlertid at utvalgets forslag under kapitel 7. er noe mangelfulle og for lite nyanserte. For eksempel bør anbefalingene om norsk kjøttproduksjon nyanseres med hensyn til ulike driftsformer og ulike former for husdyrproduksjon.,Interessegruppe
Akademikerne,"Både lønnsomheten og dyrevelferden i en langsiktig bærekraftig norsk husdyrproduksjon må sikres. Vi viser til Veterinært bærekraftforums høringsinnspill for utdyping av dette punktet. Utvalget foreslår også en omstilling til teknologi og digitalisering av matproduksjonen. En omstilling til flere teknologiske og digitale løsninger for produksjon kan være gunstig, men det vil også medføre visse risikoer med tanke på digital sikkerhet. Man er spesielt sårbar for dette dersom man mangler kompetanse på digital sikkerhet. Derfor må det komme ordninger som kan sikre spisskompetanse og tilgjengelig kunnskap for å kunne legge til rett for omstilling av matsystemet. Kap.",Interessegruppe
Akademikerne,"Akademikerne er opptatt av at ikke bare klima- og næringspolitikk drar i samme retning som utvalget peker på, men at man også bruke forsknings- og utdanningspolitiske virkemidler for å nå ambisiøse klimamål.   Akademikernes kommentarer til Del 3 Veivalg og virkemidler Utvalget understreker at omstillingen til et lavutslippssamfunn krever en helhetlig og tverrsektoriell tilnærming og at det er viktig at verken sektorinteresser, særinteresser eller endringsmotstand får definere løsningene. Akademikerne er i tillegg opptatt av at de ulike sektorene anerkjenner bidraget fra andre deler av samfunnet for å nå felles mål. Særlig er vi opptatt av utdannings- og forskingspolitikken får en større plass i diskusjonen om utfordringer og løsninger.",Interessegruppe
Akademikerne,Akademikerne støtter utvalgets vurderinger av behovet for lederskap og at tydelige politiske signaler om omstilling vil gi større forutsigbarhet for alle aktører og legge til rette for en mer gradvis endring. Men som utvalget også peker på så må slike følges av en samlet strategi og virkemidler for å nå målet. Helhetlige politikkpakker vil ha stor betydning for om vi skal få til omstillingen til et lavutslippssamfunn. Her er det relevant å se til EU og hvordan de legger frem politikkpakker som tar for seg flere aspekter ved omstillingen.,Interessegruppe
Akademikerne,"Akademikerne har ikke tatt stilling til hvordan et slikt system bør utformes i detalj, men støtter utvalgets forslag til hovedpilarene planlegge, gjennomføre og evaluere som er omtalt under kap. 17.1. Mer forpliktende samarbeid og involvering av de ulike departementene og jevnlig rapportering gjennom helhetlige klimaplaner til Stortinget er gode forslag.",Interessegruppe
Animalia AS,"” Globalt beskrives norsk landbruk som et robust familielandbruk, og med global innfallsvinkel, er det en rekke likheter mellom norsk landbruk og målet som beskrives for landbruk i utviklingsland. Strategien viser at norsk landbruk allerede gjør mye av det som skal oppnås i utviklingslandene. Da landbruksminister og utviklingsminister lanserte strategien, understreket de flere ganger disse sammenhengene, og at det er sammenheng mellom den globale og den nasjonale matsikkerheten. Det er derfor paradoksalt at det i Klimaplan 2050 kommer anbefalinger på matområdet som i praksis vil bygge ned dette landbruket og erstatte det med import fra landbruk med helt andre kjennetegn. Nasjonale mål og rammer Klimatilpasning i matproduksjonen Klimaendringene er her allerede og gir konsekvenser for samfunnet. Landbruk og matproduksjonen er spesielt utsatte næringer, slår Meld.",Bedrift
