actor,paragraph,date
Sivilingeniør Arve Gleissner Gustavsen,"Høringsutvalgets rapporten fra 25. oktober 2023 har en betydelig svakhet knyttet til det mest sentrale i det klima-orienterte arbeide, nemlig å avklare hvordan klodens atmosfæriske forhold bør presenteres slik at myndighetene kan få et best mulig beslutningsgrunnlag.",03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,Dette er nødvendig for å respondere på oppdraget fra Kongen i Statsråd den 13. august 2021.,03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,"Rapporten har fokus på utslippsreduksjon av CO2, noe som har en årsak i troen på at denne gassen fører til global oppvarming.",03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,"Det er organisasjonen Klimapanelet som mener at fangst av atmosfærisk CO2 vil redusere faren for global oppvarming, - men på feil grunnlag.",03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,"Å gi en tilstrekkelig og god beskrivelse av dette behovet er helt klart vanskelig for utvalget, ikke minst fordi adgangen til vitenskapsmenn med den nødvendige erfaringen har vært ytterst marginal i de fleste sammenhenger. Da er det også spesielt problematisk for den og de som skal etablere en offentlig utredning for på en best mulig måte å beskrive de faktiske klimatiske forhold. Det presenteres senere en oppsummering av feil i metodebruk av Klimapanelet (IPCC), som også har konsekvenser for resultatene.",03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,"Norske vitenskapsmenn som har stått helt sentralt i vurderingen av vår klodes klimatiske forhold, summerer opp den etablerte vitenskapelige kunnskapen om vår klodes klimatiske forhold. Kommentarene i høringsrunden var ikke signifikante, og publiseringen fant sted den 30. august 2022. Initiativtagerne til denne analysen var:",03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,"Professor Ole Humlum, Professor Jan-Erik Solheim og Dr. Kjell Stordahl.",03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,"En tilsvarende analyse for de samme forholdene ble i 2020 levert av to professorer, en fra Polen (Zbigniew W. Kundzewiez) og den andre fra Hellas (Pemetris Koutsoyiannis). Disse to har senere oppdatert sin globale analyse i 2023.",03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,"Det såkalte Klimapanelet (IPCC) har sprunget ut av FN, og baserer seg på innsamling av en omfattende dokument-mengde fra forskervirksomhet, men med variabel kvalitet.",03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,"Det ble startet da Cook et al. satte i gang studenter med å innhente opplysninger fra dokumenter, og resultatene fra denne «innhøstingen» dannet deretter grunnlaget for matematiske metoder der inntil 14 grupper i siste instans korrigerte parametere i ligningene som ble utarbeidet. IPCC har deretter benyttet dette resultatet som sin basis.",03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,"Når dette materialet senere ble gjennomgått med et kritisk blikk på metoden som var benyttet, ble materialet gruppert inn i 7 kategorier, bare avhengig av ordbruken i det enkelte dokumentet. Dette ga helt annet resultat, der for eksempel hele 67 % av de 12.271 dokumentene ble forkastet. Tilbake sto bare 0,6 % som støttet et utsagn om at våre utslipp til atmosfæren var årsak til klimaendringer. Ut over de to gruppene vitenskapsmenn er det ikke kunnskap om andre vitenskapelige grupper som har utført denne type globale analyse basert på informasjon fra måle-instrumenter.",03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,"Den norske analysen er gjennomført over et tidsrom på 60 år, regnet fra start-året i 1962 til 2024 da det først i 1962 forelå tilstrekkelige globale målinger for å kunne gjennomføre en slik global analyse. Dette endte opp med at atmosfærens CO2 er et periodisk resultat av temperaturendringer i havet.",03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,Vedlegget tar for seg hovedinnholdet i svaret på denne høringen.,03.02.2024
Sivilingeniør Arve Gleissner Gustavsen,"Hva angår de vitenskapelige fakta, bes utvalget om å ta hensyn til det vedlagte som en realistisk innfallsvinkel til å:",03.02.2024
Skagerak Energi,Det vises til høring - NOU 2023:25 omstilling til lavutslipp - Veivalg for klimapolitikken mot 2050 - rapport av Klimautvalget 2050.,28.02.2024
Skagerak Energi,"Skagerak Energi finner Klimautvalgets rapport god og nødvendig i en tid der Norge trenger å knytte energipolitikken tettere sammen med klimapolitikken for at vi skal nå norske utslippsmål mot 2030 og 2050. Skagerak Energi er enig i hovedkonklusjonene til Klimautvalget, blant annet om at beslutninger som tas i dag må baseres på et mål om at så godt som alle klimagassutslipp i Norge må være fjernet for godt innen 2050 og at tempoet mot nullutslipp må opp.",28.02.2024
Skagerak Energi,"Skagerak energi viser til Fornybar Norges høringsinnspill om anbefalinger som særlig legger vekt på at vi trenger mer kraft og nett, energieffektivisering, varmeutnyttelse og helhetlig energisystemtankegang. Dette er grunnlaget både for god klimapolitikk og god energipolitikk.",28.02.2024
Skagerak Energi,"Vi viser også til høringssvar fra Statkraft AS som blant annet legger vekt på hva som kan gjøres med de lange ledetidene i kraftsystemet og betydningen av langsiktig planlegging for å få den samfunnsutviklingen vi ønsker utover 2030 og 2040-tallet, hvilke avveiinger som må gjøres for å utvikle nye vindkraftprosjekter, hvordan vannkraft er ryggraden i det norske energisystemet og kan komplementere kostnadseffektiv utbygging av uregulerbar kraft som vindkraft. Statkraft peker også på hvordan et effektivt og velfungerende kraftsystem er viktig for å sikre god ressursbruk.",28.02.2024
Skagerak Energi,Skagerak Energi viser videre til innspill fra Biogass Norge på vegne av biogassbransjen.,28.02.2024
Skagerak Energi,Til slutt ønsker vi å løfte frem noen konkrete områder som vi mener bør bli tydeligere i fremtidig klimapolitikk enn det som kommer fram i NOUen fra Lavutslippsutvalget. Vi stiller gjerne til samtale om det er behov for utdypninger.,28.02.2024
Skagerak Energi,Nett,28.02.2024
Skagerak Energi,"Skagerak Energis nettselskap Lede, sender eget høringsinnspill. Elektrifisering er den primære løsningen for å redusere norske utslipp i transport og industri. Kraftnettet må derfor tilpasses denne etterspørselen og nettet må som Strømnettutvalget konkluderte, komme i tide. Det regimet som eksisterer i dag, gir nettselskaper insentiver med å vente så lenge som mulig med å bygge nett, og fører nettopp ikke til nett i tide. Nettreguleringen trenger derfor å legge til rette for en forventningsbasert tilnærming. Lavutslippsutvalget sier lite om betydningen av nettutvikling for det grønne skiftet. Det er nødvendig at dette blir tydeligere i fremtidig klimapolitikk.",28.02.2024
Skagerak Energi,Biogass,28.02.2024
Skagerak Energi,Skagerak Energi støtter Biogass Norges innspill til Lavutslippsutvalgets rapport. Vi ønsker likevel å understreke noen poenger derfra:,28.02.2024
Skagerak Energi,"Klimautvalget foreslår at produksjon av fornybar energi må økes for å kunne erstatte fossil energi. Samtidig går Norge mot et kraftunderskudd. I dag produserer Norge om lag 0,7 TWh biogass. Det teoretiske potensialet er 22 TWh, men et realistisk estimat er fem TWh i 2030 og betydelige 10 TWh i 2035. En produksjon på 5 TWh vil kunne kutte to millioner tonn CO2 årlig i 2030, og er alene et vesentlig bidrag for å nå norske mål innenlands. For å få dette til, mener vi i likhet med Biogass Norge, at det er nødvendig å følge Klimautvalgets anbefaling om å kombinere flere virkemidler for et taktskifte i omstillingen. Som Miljødirektoratets rapport M2275-2022 viser, har Sverige og Danmark betydelig bedre støtteordninger for produksjon av biogass. Derfor må det jobbes med følgende på virkemiddelsiden:",28.02.2024
