actor,paragraph,date
Akershus fylkeskommune,Høringsinnspill til Klimautvalget 2050 Akershus fylkeskommune viser til høring av Klimautvalgets NOU 2023: 25 Omstilling til lavutslipp – Veivalg for klimapolitikken mot 2050. Høringsuttalelsen er gitt på vegne av Akershus fylkeskommune med forbehold om politisk vedtak.,20.02.2024
Akershus fylkeskommune,"Akershus fylkeskommune skal bidra til at Norge oppfyller sine internasjonale forpliktelser i Naturavtalen, Parisavtalen og klimaavtalen med EU fra 2019. NOU 2023:25 tillegger fylkeskommuner og kommuner en sentral rolle i utviklingen mot lavutslippssamfunnet 2050. Klimautvalget presiserer at Norge aldri vil nå målene for lavutslippssamfunnet 2050 om vi ikke lykkes med omstilling i kommunene.",20.02.2024
Akershus fylkeskommune,"Arbeidet til Klimautvalget er nytenkende og effektfullt. Akershus fylkeskommune vil spesielt trekke frem utvalgets tiltaks-pyramide unngå, flytte og forbedre (UFF) som et tydelig rammeverk for prioritering av strategier og tiltak. Dette vil bidra til at flere trekker i samme retning i praktisk klimaarbeid og prioriteringer i klimapolitikken. Akershus fylkeskommune har i likhet med de andre fylkeskommunene i landet ambisiøse klimamål, og er motivert for å ta i bruk alle dimensjoner av den regionale samfunnsutviklerrollen (angi strategisk retning, mobilisere, samordne og koordinere). Vi håper at vårt innspill til utredningen fra Klimautvalget 2050 kan bidra til å skape en bedre forståelse for hvordan myndighetene kan støtte kommuner og fylkeskommuner ved å tilby tilstrekkelige mandat, virkemidler og finansiering for arbeidet. Innspillet følger kapittelinndelingen i Klimautvalgets rapport. Fylkeskommunen viser også til skriftlige innspill til arbeidet med stortingsmeldinger for klima og naturmangfold, sendt inn 5. februar 2024.",20.02.2024
Akershus fylkeskommune,"Hovedanbefalinger Fylkeskommunen mener at det positive med omstillingen som foreslås bør trekkes tydeligere frem i hovedvurderingene. Akershus fylkeskommune legger alle FNs 17 bærekraftsmål til grunn for den ønskede samfunnsutviklingen, og styrende for all samfunns- og arealplanlegging. Utvalgets systemperspektiv resonerer for hvordan et helhetlig arbeid med bærekraftig omstilling er 2  innarbeidet gjennom innsatsområder og helhetlig virkemiddelbruk i fylkeskommunens eget arbeid. Hensynet til naturen og planetens tålegrenser er fundamentet for bærekraftig utvikling i samfunnet, og er dermed en forutsetning for at andre mål innen sosial og økonomisk bærekraft kan oppnås.",20.02.2024
Akershus fylkeskommune,"Klimautvalget nevner i sin rapport at det er viktig å styrke og synliggjøre de positive effektene av omstillingen. Dette bør komme tydeligere frem i hovedanbefalingene. Natur og naturopplevelser er grunnleggende for sosial bærekraft, livskvalitet og muligheten til å leve gode liv. Reduserte utslipp av klimagasser vil begrense klimaendringene, som i dag utgjør en alvorlig trussel mot miljøet, økosystemene og menneskets velferd. Bedre luftkvalitet, som følge av redusert veitrafikk og omlegging til nullutslippsteknologi, vil redusere helseproblemer som f.eks. luftveisinfeksjoner.  Innsatsen for å nå klimamålet innebærer også å investere i grønn teknologi og innovasjon. Dette kan gi økt effektivitet, lavere kostnader og mer tilgjengelige ressurser for alle. Det blir viktig å få innbyggerne med i omstillingsarbeidet, og derfor må gevinstene tydeliggjøres og vises frem.  Rettferdighet i omstillingen  Rettferdig omstilling må ligge til grunn for hvilke veivalg til lavutslippssamfunnet vi skal ta, og virkemidler for å motvirke ulikhet må innføres samtidig med innføring av klimatiltak. Klimautvalget understreker at omstillingen til lavutslippssamfunnet må gjøres mest mulig rettferdig, både fordi et rettferdig samfunn er et mål i seg selv, og fordi det vil gjøre omstillingen lettere. Utvalget skriver at «uønskede fordelingseffekter i hovedsak håndteres gjennom skattesystemet og velferdsordninger». Akershus fylkeskommune støtter dette, men mener at det må lages et system som tidlig fanger opp eventuelle ulikheter som kommer av klimapolitikken, slik at virkemidler i økonomipolitikken blir innført samtidig med virkemidler for klimapolitikken. Sårbare grupper er mer utsatt i kriser og omstillingsprosesser. Det er viktig å sørge for at de som er mest utsatt fra før, ikke må bære en urettmessig stor del av konsekvensene for omlegging til et lavutslippssamfunn. Når man tar ulike veivalg for å oppnå lavutslippssamfunnet, bør de veivalgene – som også fremmer bedre folkehelse og bedre liv – være veivalg som prioriteres.",20.02.2024
Akershus fylkeskommune,"Kompetanseheving for det grønne skiftet må være tilgengelig for hele befolkningen. Funn fra Kompetansebehovsutvalget skal vise at Norge mangler kompetanse som trengs for å gjennomføre det grønne skiftet. NOU 25 foreslår at; «Flest mulig skal ha et reelt tilbud om etter- og videreutdanning for å øke kompetansen det er behov for i omstillingen og i et lavutslippssamfunn». Akershus fylkeskommune støtter dette forslaget, og legger til at tilbudene bør utvikles for ulike nivåer, og være tilgjengelig for hele befolkningen. Et samarbeid mellom arbeidsgiversiden, arbeidstakersiden utdanningssektoren og politiske myndigheter er helt nødvendig for å oppnå ønsket målsetting.",20.02.2024
Akershus fylkeskommune,"Energisystemet Fylkeskommunen mener at sirkularitet må vektlegges i energiomstillingen. Klimautvalget anbefaler at Norge gjør mer for å innrette tiltak for en mer sirkulær økonomi, slik at det bidrar til redusert energi- og ressursbruk i hele verdikjeden for sol- og vindkraftproduksjon og produksjon av batterier. Akershus fylkeskommune er enig i dette, men mener at sirkulær økonomi må sees på et høyere nivå når det gjelder energiomstilling. Utvalget legger betydelig fokus på kraft og elektrisitet, men utnyttelse av avfallsressurser til energi og utnyttelse av ubrukte energistrømmer omtales lite. Dette må fremheves slik at energiomstillingen blir sirkulær og ressurseffektiv. Ved å bruke de ressursene vi allerede har, unngår vi å måtte utvinne nye ressurser eller ta i bruk nye arealer.",20.02.2024
Akershus fylkeskommune,"Bioenergi bør være basert på avfallsprodukter og biprodukter fra skogindustri og jordbruk, og som har få andre anvendelser. Ved å behandle avløpsslam og produsere energi, gir dette en økt produksjon av fornybar energi, en mer effektiv bruk av ressurser, som igjen bidrar til en mer sirkulær økonomi.",20.02.2024
Akershus fylkeskommune,"Akershus fylkeskommune mener at omleggingen til en sirkulær økonomi vil kreve at man innretter energiproduksjon, -forbruk og -distribusjon på en annen måte enn i dag. Det bør gjennomføres en kartlegging av energistrømmene, og hvordan disse kan utnyttes bedre, for å redusere behovet for økt nettkapasitet og ny kraftproduksjon.  Utbygging av fornybar energiproduksjon på «grå arealer» bør prioriteres for å redusere målkonflikter.",20.02.2024
Akershus fylkeskommune,"Akershus fylkeskommune støtter utvalgets vurdering om at energieffektivisering må få større oppmerksomhet, og at kraft først og fremst skal bygges ut på «grå arealer». Dette er viktig for å redusere konfliktene som kan oppstå ved utbygging av arealintensiv fornybar energi. Solkraft er eksempelvis en godt egnet energiressurs som kan utnyttes ved å bygge ut på eksisterende fasader og tak. Dette er en prioritert satsing i Akershus fylkeskommune. Her må også det nasjonale virkemiddelapparatet følge etter og innrettes slik at det støtter implementering av moden teknologi både for næringsliv og private husholdninger.",20.02.2024
