,Unnamed: 0.1,Unnamed: 0,actor,url,org_form
0,0,0,Abelia,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=983489060,Interessegruppe
1,1,1,Advokatforeningen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=936575668,Interessegruppe
2,2,2,Agder fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921707134,Offentlig forvaltning
3,3,3,Akademikerne,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=979371349,Interessegruppe
4,4,4,Alliansen ny landbrukspolitikk,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=919764244,Interessegruppe
5,5,5,Animalia AS,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=919117060,Bedrift
6,6,6,Ann Norderhaug,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=996348008,Bedrift
7,7,7,Arbeidsgiverforeningen Spekter,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=871281602,Interessegruppe
8,8,8,Arkitektorganisasjonene felles,,Interessegruppe
9,9,9,Arne Aasen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980002748,Bedrift
10,10,10,Asker kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=920125298,Offentlig forvaltning
11,11,11,Askøy kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964338442,Offentlig forvaltning
12,12,12,Bergen INP,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=925520926,Politisk parti
13,13,13,Bergen kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964338531,Offentlig forvaltning
14,14,14,Besteforeldrenes klimaaksjon,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=998636779,Frivillig organisasjon
15,15,15,"Besteforeldrenes klimaaksjon, samferdselsgruppa",,Frivillig organisasjon
16,16,16,Biogass Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921694784,Interessegruppe
17,17,17,Bioteknologirådet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980633446,Offentlig forvaltning
18,18,18,BirdLife Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=970089748,Frivillig organisasjon
19,19,19,Bodø kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=972418013,Offentlig forvaltning
20,20,20,Boligprodusentenes Forening,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=979610548,Interessegruppe
21,21,21,Buskerud fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930580260,Offentlig forvaltning
22,22,22,Bærum kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=935478715,Offentlig forvaltning
23,23,23,Dag Hendrik Flølo,,Privatperson
24,24,24,Den norske kyrkja ved Biskopen i Møre Ingeborg Midttømme,,Frivillig organisasjon
25,25,25,Direktoratet for samfunnssikkerhet og beredskap,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974760983,Offentlig forvaltning
26,26,26,DNMF,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930543446,Interessegruppe
27,27,27,Drammen kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921234554,Offentlig forvaltning
28,28,28,Eidsvoll INP,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=932998092,Politisk parti
29,29,29,Elkem ASA,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=911382008,Bedrift
30,30,30,Energigass Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=993443867,Interessegruppe
31,31,31,Equinor ASA,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=923609016,Bedrift
32,32,32,Etne Industri- og næringspartiet,,Politisk parti
33,33,33,Finansforbundet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980331105,Interessegruppe
34,34,34,Finnmark fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=830090282,Offentlig forvaltning
35,35,35,Fiskeridirektoratet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971203420,Offentlig forvaltning
36,36,36,FME Norwegian CCS Research Centre/SINTEF Energi,,Akademisk institusjon
37,37,37,Forbundet for Ledelse og Teknikk,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971526556,Interessegruppe
38,38,38,"Forsvaret, Forsvarsmateriell, Forsvarsbygg og Forsvarets forskningsinstitutt",,Offentlig forvaltning
39,39,39,Forum for Miljøteknologi,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=884296862,Interessegruppe
40,40,40,Frode Tennebø,,Privatperson
41,41,41,Frøya Offentlig forvaltning,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964982597,Offentlig forvaltning
