,Unnamed: 0.1,Unnamed: 0,actor,url,org_form
0,0,0,Abelia,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=983489060,Forening
1,1,1,Advokatforeningen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=936575668,Forening
2,2,2,Agder fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921707134,Fylkeskommune
3,3,3,Akademikerne,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=979371349,Forening
4,4,4,Alliansen ny landbrukspolitikk,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=919764244,Forening
5,5,5,Animalia AS,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=919117060,Aksjeselskap
6,6,6,Ann Norderhaug,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=996348008,Enkeltpersonforetak
7,7,7,Arbeidsgiverforeningen Spekter,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=871281602,Forening
8,8,8,Arkitektorganisasjonene felles,,Forening
9,9,9,Arne Aasen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980002748,Enkeltpersonforetak
10,10,10,Asker kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=920125298,Kommune
11,11,11,Askøy kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964338442,Kommune
12,12,12,Bergen INP,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=925520926,Forening
13,13,13,Bergen kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964338531,Kommune
14,14,14,Besteforeldrenes klimaaksjon,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=998636779,Forening
15,15,15,"Besteforeldrenes klimaaksjon, samferdselsgruppa",,Forening
16,16,16,Biogass Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921694784,Forening
17,17,17,Bioteknologirådet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980633446,Organisasjonsledd
18,18,18,BirdLife Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=970089748,Forening
19,19,19,Bodø kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=972418013,Kommune
20,20,20,Boligprodusentenes Forening,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=979610548,Forening
21,21,21,Buskerud fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930580260,Fylkeskommune
22,22,22,Bærum kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=935478715,Kommune
23,23,23,Dag Hendrik Flølo,,Privatperson
24,24,24,Den norske kyrkja ved Biskopen i Møre Ingeborg Midttømme,,Kirke
25,25,25,Direktoratet for samfunnssikkerhet og beredskap,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974760983,Organisasjonsledd
26,26,26,DNMF,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930543446,Forening
27,27,27,Drammen kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921234554,Kommune
28,28,28,Eidsvoll INP,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=932998092,Forening
29,29,29,Elkem ASA,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=911382008,Allmennaksjeselskap
30,30,30,Energigass Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=993443867,Forening
31,31,31,Equinor ASA,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=923609016,Allmennaksjeselskap
32,32,32,Etne Industri- og næringspartiet,,Politisk parti
33,33,33,Finansforbundet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980331105,Forening
34,34,34,Finnmark fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=830090282,Fylkeskommune
35,35,35,Fiskeridirektoratet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971203420,Organisasjonsledd
36,36,36,FME Norwegian CCS Research Centre/SINTEF Energi,,Forskningsinstitutt
37,37,37,Forbundet for Ledelse og Teknikk,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971526556,Forening
38,38,38,"Forsvaret, Forsvarsmateriell, Forsvarsbygg og Forsvarets forskningsinstitutt",,Organisasjonsledd
39,39,39,Forum for Miljøteknologi,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=884296862,Forening
40,40,40,Frode Tennebø,,Privatperson
41,41,41,Frøya Kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964982597,Kommune
42,42,42,Færder kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=817263992,Kommune
43,43,43,Grimstad kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=864964702,Kommune
44,44,44,Grønt landtransportprogram,,Forening
45,45,45,Hafslund AS,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=920596509,Aksjeselskap
46,46,46,Halden kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=959159092,Kommune
